indexA,addressA,indexB,addressB,score
1927,"Star Inn Rooms, 66 High Street Ardersier ArdersierInverness, Highland, IV27QB",603,"The Gun Lodge, High Street, Ardersier, , United Kingdom, Highland, IV27QB",0.5
2208,"YHA Canterbury, 54 New Dover Road Canterbury, South East, CT13DT",6713,"Canterbury Hotel, 65-67, New Dover Road, Canterbury, Kent, , GB, South East, CT13DX",0.5165
2290,"Ebury Cottages and Apartments, 65 67 New Dover Road, Canterbury, South East, CT13DX",6714,"Abbots Barton Hotel, 36, New Dover Road, Canterbury, Kent, , GB, South East, CT13DU",0.5
2291,"Homelea Cottage, 108 Wincheap, Canterbury, South East, CT13RS",11338,"Canterbury Hotel, 140, Wincheap, Canterbury, Kent, , GB, South East, CT13RY",0.5228
2325,"The Linen House, Flat 3 Castle Street, Canterbury, South East, CT12QT",5581,"Castle House Hotel, 28, Castle Street, Canterbury, Kent, , GB, South East, CT12PT",0.5
2416,"The Cairn Lodge & Hotel, Orchil Road Auchterarder, Perth and Kinross, PH31LX",8702,"Cairn Lodge Hotel, Tullibardine Road, Auchterarder, Perth and Kinross, PH31LX",0.5857
2443,"Aultbea Lodges, Aultbea, Drumchork, Ross-Shire, Highland, IV222HU",7198,"Drumchork Lodge Hotel, Aultbea, Highland, IV222HU",0.5571
2461,"Aviemore Youth Hostel, 25 Grampian Road Aviemore, Highland, PH221PR",9534,"Premier Inn Aviemore, Grampian Road, Aviemore, Highland, PH221PX",0.5
2491,"Bynack, Pine Bank Chalets Dalfaber Road, Highland, PH221PX",9534,"Premier Inn Aviemore, Grampian Road, Aviemore, Highland, PH221PX",0.5577
2503,"Lurchers Cabin Aviemore, Plot A6 Dalfaber Road, Highland, PH221PX",9534,"Premier Inn Aviemore, Grampian Road, Aviemore, Highland, PH221PX",0.5736
2527,"Aviemore Lodge, Dalfaber Drive, Highland, PH221ST",3177,"Macdonald Spey Valley Resort, Dalfaber Drive, Aviemore, , United Kingdom, Highland, PH221SS",0.5
2528,"Aviemore Apartment, Dalfaber Drive, Highland, PH221ST",3177,"Macdonald Spey Valley Resort, Dalfaber Drive, Aviemore, , United Kingdom, Highland, PH221SS",0.5
2614,"Langley Bank Guest House, 39 Carrick Road ; Ayr, South Ayrshire, KA72RD",1088,"Carrick Lodge, 46, Carrick Road, Ayr, , United Kingdom, South Ayrshire, KA72RB",0.5339
2651,"Afton Villa Bed and Breakfast, 39 Whitletts Road Ayr Scotland, South Ayrshire, KA80JD",4692,"Western House Hotel, 2, Whitletts Road, Ayr, South Ayrshire, KA80HA",0.501
2847,"Days Inn Stevenage North, Extra Services Jnctn 10 A1m Radwell Radwell, North Hertfordshire, East of England, SG75TR",3796,"Days Inn, Great North Road, Baldock, North Hertfordshire, East of England, SG75TR",0.5033
2870,"Glenachulish Bay Cottage, Highland, PH494JD",6447,"Ballachulish Hotel & Restaurant, Ballachulish, Highland, PH494JY",0.5
3136,"Gamrie Brae Cottage, Brae Hotel Brae Scotland  BRAE, Shetland Islands, ZE29QJ",2610,"Brae Hotel, A970, Shetland, , United Kingdom, Shetland Islands, ZE29QJ",0.5
3165,"The Slate, Talybont Bangor, Gwynedd, LL573UR",736,"The Slate, Tal Y Bont, Bangor, , GB, Gwynedd, LL573UR",0.5
3244,"Brunswick House Guest house, 55 Market Place Middleton in Teesdale Middleton-in-TeesdaleBarnard CastleCounty Durham, North East, DL120QH",3362,"The Forresters, 52-53, Market Place, Barnard Castle, , United Kingdom, County Durham, North East, DL120QH",0.5828
