orig_indexA,orig_indexB,addressA,addressB,score
3631,9337,"Redcar Hotel, 27-29 Henrietta Street Bath, Bath and North East Somerset, South West, BA26LR","Henrietta House, 27-29, Henrietta Street, , GB, Bath and North East Somerset, South West, BA26LR",0.9
3763,8850,"Z Hotel Bath, 7 Saw Close Bath, Bath and North East Somerset, South West, BA11EY","Z hotel, 7, Saw Close, Bath and North East Somerset, South West, BA11EY",0.9
3764,4152,"Hampton By Hilton Bath City, Avon Street, Bath, , United Kingdom, Bath and North East Somerset, South West, BA11UP","Hampton by Hilton Bath City, Avon Street, Bath, Bath and North East Somerset, South West, BA11UP",0.9
3870,5154,"Free Parking Two storey Apartment With Balcony And Courtyard In Bath City Centre, 4 Monmouth Place, Bath and North East Somerset, South West, BA12AT","The Yard in Bath, Monmouth Place, Bath and North East Somerset, South West, BA12AT",0.9
3945,10898,"Crowne Plaza Gerrards Cross, Oxford Road Beaconsfield South Bucks, Buckinghamshire, South East, HP92XE","Crowne Plaza, Oxford Road, Beaconsfield, Buckinghamshire, South East, HP92XE",0.9
4031,6524,"The Bulkeley Hotel, 19 Castle Street Beaumaris Anglesey, Isle of Anglesey, LL588AW","Bulkeley Hotel, 19, Castle Street, Beaumaris, Isle of Anglesey, LL588AW",0.9
4032,2091,"Bishopsgate House Hotel, 54 Castle Street Beaumaris Anglesey, Isle of Anglesey, LL588BB","Bishopsgate Hotel, 54, Castle Street, Beaumaris, , United Kingdom, Isle of Anglesey, LL588BB",0.9
4032,10510,"Bishopsgate House Hotel, 54 Castle Street Beaumaris Anglesey, Isle of Anglesey, LL588BB","Bishopsgate Hotel and Restaurant, 54, Castle Street, Beaumaris, Isle of Anglesey, LL588BB",0.9
4073,2672,"Lark Rise B & B Wangford, 81 High St. Wangford, Suffolk Beccles, East Suffolk, East of England, NR348RL","The Angel Inn, 39, High Street, Wangford, , United Kingdom, East Suffolk, East of England, NR348RL",0.9
4144,3988,"Tennyson House Hotel 36 Shakespeare Road Bedford, East of England, MK402ED","Tennyson House Hotel, 36, Shakespeare Road, Bedford, , GB, East of England, MK402ED",1.0
4149,560,"Flitwick Manor Hotel, BW Premier Collection, Church Road Flitwick, Central Bedfordshire, East of England, MK451AE","Flitwick Manor, Church Road, Flitwick, , GB, Central Bedfordshire, East of England, MK451AE",0.9
4154,4000,"D'parys, 45 De Parys Avenue Bedford, East of England, MK402UA","d'Parys, 41-45, De Parys Avenue, Bedford, , GB, East of England, MK402UA",0.9
4161,1037,"The Bull Hotel, 77 Bedford Road Barton Le Clay Barton le ClayBedfordshire, Central Bedfordshire, East of England, MK454LL","The Bull Hotel, 77, Bedford Road, Bedford, Bedfordshire, , GB, Central Bedfordshire, East of England, MK454LL",0.9
4169,1951,"The White Hart, 125 Dunstable Street Ampthill AmpthillBedford, Central Bedfordshire, East of England, MK452NG","The White Hart, 125, Dunstable Street, Ampthill, , GB, Central Bedfordshire, East of England, MK452NG",0.9
4215,7978,"The Merchant Hotel, 16 Skipper Street Belfast, BT12DZ","The Merchant Hotel, 16, Skipper Street, Belfast, Antrim, BT12DZ",1.0
4218,8332,"Holiday Inn Belfast City Centre, 40 Hope Street Belfast, BT125EE","Hampton by Hilton Belfast City Centre, 15, Hope Street, Belfast, BT125EE",0.9
4223,1178,"House Hotel Belfast, 59-63 Botanic Avenue Belfast, BT71JL","Madison's Hotel, 59-63, Botanic Avenue, Belfast, , United Kingdom, BT71JL",0.9
4223,1179,"House Hotel Belfast, 59-63 Botanic Avenue Belfast, BT71JL","Madison's Hotel, 59-63, Botanic Avenue, Belfast, , United Kingdom, BT71JL",0.9
4242,9386,"Hilton Belfast, 4 Lanyon Place Belfast, BT13LP","Hilton Belfast, 4, Lanyon Place, Belfast, BT13LP",0.9574
4244,2154,"Travelodge Belfast Central, 15 Brunswick Street Belfast, BT27GE","Travelodge - Belfast Central, 15, Brunswick Street, Belfast, , United Kingdom, BT27GE",1.0
4245,11175,"Clayton Hotel Belfast, 22 Ormeau Avenue Belfast, BT28HS","Clayton Hotel Belfast, 22, Ormeau Avenue, Belfast, BT28HS",1.0
4249,8613,"The Fitzwilliam Hotel Belfast, Great Victoria Street Belfast Northern Ireland, BT27BQ","Fitzwilliam Hotel, 1-3, Great Victoria Street, Belfast, Antrim, BT27BQ",0.9
4251,9064,"Malmaison Belfast, 34-38 Victoria Street Belfast, BT13GH","Malmaison, 34-38, Victoria Street, Belfast, BT13GH",0.9
4252,6678,"Park Inn by Radisson Belfast, 4 Clarence Street West  Belfast, BT27GP","Park Inn, 4, Clarence Street West, Belfast, BT27GP",1.0
4295,3449,"Bullitt Hotel, 40A Church Lane BelfastNorthern Ireland, BT14QN","Bullit, 40a, Church Lane, Belfast, Antrim, , United Kingdom, BT14QN",0.9
4296,2154,"Maldron Hotel Belfast City, 20 Brunswick Street Belfast, BT27GE","Travelodge - Belfast Central, 15, Brunswick Street, Belfast, , United Kingdom, BT27GE",0.9
4296,8905,"Maldron Hotel Belfast City, 20 Brunswick Street Belfast, BT27GE","Maldron Hotel Belfast City, 20, Brunswick Street, Belfast, BT27GE",0.9797
4466,9771,"Standing Stones Lodge, 16 Divis Road Hannahstown, Belfast, BT170NG","Standing Stones Lodge, 16, Divis Road, Belfast, BT170NG",1.0
4491,9298,"The Folly Belford, Middleton Hall, Northumberland, North East, NE707LF","Middleton Hall, Middleton, Northumberland, North East, NE707LF",0.9
4563,1,"The Crab And Lobster Inn, 32 Forelands Field Road Bembridge Isle of Wight, South East, PO355TR","The Crab and Lobster Inn, 32, Forelands Field Road, Bembridge, Isle Of Wight, , GB, South East, PO355TR",1.0
4585,6426,"Isle of Benbecula House, Creagorry Locheport Isle of Benbecula, Na h-Eileanan Siar, HS75PG","The Isle of Benbecula House Hotel, Isle of Benbecula, , GB, Na h-Eileanan Siar, HS75PG",0.9
