orig_index,text
7020,"Kaim Park Hotel, Edinburgh Road, Bathgate, West Lothian, EH481EP"
9676,"Shoreditch Inn, 1, Austin Street, London, Tower Hamlets, E27NB"
8105,"The Beeches Hotel, 65, Wilford Lane, Nottingham, Rushcliffe, East Midlands, NG27RN"
6836,"Carlton Hotel, 90, Belgrave Road, London, Westminster, SW1V2BJ"
10647,"The Waterfront Hotel, 7, North Crescent, Portpatrick, Dumfries and Galloway, DG98SX"
7184,"Dragon Hotel and Restaurant, Holyhead Road, Betws y Coed, , GB, Conwy, LL240BN"
10718,"Rossmore Hotel, 301-309, Cranbrook Road, Ilford, Redbridge, London, IG14UA"
5309,"Edgbaston Palace Hotel, 198-200, Hagley Road, Birmingham, , GB, West Midlands, B169PQ"
5660,"Point A Hotels, 8-10, Paul Street, London, Hackney, EC2A4JH"
7039,"West Port Hotel, 18-20, West Port, Linlithgow, West Lothian, EH497AZ"
4726,"Buckingham Hotel, 1-2, Burlington Road, Buxton, High Peak, East Midlands, SK179AS"
6459,"Hogshead Inn, Hawfinch Drive, Alnwick, Northumberland, North East, NE662BF"
9343,"The Sumner Hotel, 54, Upper Berkeley Street"
2605,"Hotel 52, 52, South Parade, Whitley Bay, , GB, North Tyneside, North East, NE262RQ"
9294,"Kinder Lodge, 10, New Mills Road, High Peak, , GB, East Midlands, SK222JG"
9031,"Gwesty Gadlys Hotel, Cemaes Bay, Isle of Anglesey, LL670LH"
524,"Lonsdale Hotel, 10, Bedford Place, London, , GB, Camden, WC1B5JU"
6686,"Burntisland Sands Hotel, Lochies Road, Burntisland, Fife, KY39JX"
11294,"The Ship Inn, 33, Shore Road, Invergordon, Highland, IV180ER"
10267,"Premier Inn (Aberdeen Central West), North Anderson Drive, Aberdeen, , GB, Aberdeen City, AB156DW"
10259,"Comfotel Blu, 114, Shepherds Bush Road, London, GB"
7198,"Drumchork Lodge Hotel, Aultbea, Highland, IV222HU"
5946,"Newcastle House Hotel, Front Street, Rothbury, Northumberland, North East, NE657UT"
9570,"Hyde Park Rooms Hotel, 137, Sussex Gardens"
6760,"Britannia Hotel Newcastle Airport, Ponteland, Newcastle upon Tyne, North East, NE138DJ"
6356,"Bellavista, Carness Road, St Ola, Orkney Islands, KW151UE"
6636,"Paramount Hotel, 328, Mansfield Road, Nottingham, East Midlands, NG52EF"
4146,"Ibis Styles, 65, Lionel Street, Birmingham, West Midlands, B31JE"
5404,"Hilton London Croydon, 101, Waddon Way, Croydon, CR94HH"
4445,"Best Western London Peckham Hotel, 110, Peckham Road, London"
