original_address,lat,long,formatted,name,housenumber,street,district,postcode,suburb,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url
"London City Suites, 42-46 Chiswell Street  London, Islington, EC1Y4SB",51.52109825,-0.091927236,"London City Suites, 42-46 Chiswell Street, London, EC1Y 4SB, United Kingdom",London City Suites,42-46,Chiswell Street,London Borough of Islington,EC1Y 4SB,Barbican,London,Greater London,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Copthorne Hotel Merry Hill Dudley, Level Street, Dudley, West Midlands, DY51UR",52.4842017,-2.116247952,"Level Street, Brierley Hill, DY5 1UR, United Kingdom",Level Street,,Level Street,,DY5 1UR,Dudley Fields,Brierley Hill,West Midlands,,England,ENG,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Bryn Derwen Guest House, 34, Abbey Road, Llandudno, , GB, Conwy, LL302EE",53.3247329,-3.837077,"Bryn Derwen Guest House, 34 Abbey Road, Llandudno, LL30 2EE, United Kingdom",Bryn Derwen Guest House,34,Abbey Road,,LL30 2EE,Llandudno,Llandudno,Conwy,CWY,Wales,WLS,United Kingdom,gb,0.931034483,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"The Little Haven, River Drive, South Shields, South Tyneside, North East, NE331LH",55.00518374,-1.426297041,"River Drive, South Tyneside, NE33 1LH, United Kingdom",River Drive,,River Drive,,NE33 1LH,The Lawe,South Tyneside,Tyne and Wear,,England,ENG,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Aberdeen Northern Hotel, 1-3, Great Northern Road, Aberdeen, Aberdeen City, AB243PS",57.1622012,-2.116518223,"Aberdeen Northern Hotel, 1-3 Great Northern Road, Aberdeen City, AB24 3PS, United Kingdom",Aberdeen Northern Hotel,3-Jan,Great Northern Road,,AB24 3PS,Ashgrove,Aberdeen City,,,Scotland,SCT,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"The Eaton Hotel, 279, Hagley Road, Birmingham, , GB, West Midlands, B169NB",52.47204365,-1.946845053,"The Eaton Hotel, 279 Hagley Road, Birmingham, B16 9NB, United Kingdom",The Eaton Hotel,279,Hagley Road,Chad Valley,B16 9NB,Harborne,Birmingham,West Midlands,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Byron Hotel, 36-38, Queensborough Terrace",51.5120362,-0.185159208,"Byron Hotel, 36-38 Queensborough Terrace, London, W2 3ST, United Kingdom",Byron Hotel,36-38,Queensborough Terrace,Westbourne Green,W2 3ST,Bayswater,London,Greater London,,England,ENG,United Kingdom,gb,0,,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Epperstone Hotel, 15, Abbey Road, Llandudno, , GB, Conwy, LL302EE",53.3243019,-3.8368893,"Epperstone Hotel, 15 Abbey Road, Llandudno, LL30 2EE, United Kingdom",Epperstone Hotel,15,Abbey Road,,LL30 2EE,Llandudno,Llandudno,Conwy,CWY,Wales,WLS,United Kingdom,gb,0.921568627,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"The Greenwood Hotel, 674, Whitton Avenue West, Northolt, , GB, Ealing, London, UB54LA",51.55301845,-0.351486465,"The Greenwood Hotel, 674 Whitton Avenue West, London, UB5 4LA, United Kingdom",The Greenwood Hotel,674,Whitton Avenue West,Wood End,UB5 4LA,,London,Greater London,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Karden House, 16, Charlton Street, Llandudno, , GB, Conwy, LL302AA",53.3217514,-3.8267183,"Karden House, 16 Charlton Street, Llandudno, LL30 2AA, United Kingdom",Karden House,16,Charlton Street,,LL30 2AA,Craig-y-don,Llandudno,Conwy,CWY,Wales,WLS,United Kingdom,gb,0.884615385,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Tuckers Inn, 11, Saltburn Road, Invergordon, Highland, IV180HH",57.6898886,-4.158453718,"Tuckers Inn, 11 Saltburn Road, Invergordon, IV18 0HH, United Kingdom",Tuckers Inn,11,Saltburn Road,,IV18 0HH,Saltburn,Invergordon,Highland,HLD,Scotland,SCT,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Strawberry Bank Hotel & Restaurant, Main Road, Meriden, Solihull, West Midlands, CV77NF",52.43692713,-1.647464772,"Main Road, Meriden, CV7 7NF, United Kingdom",Main Road,,Main Road,,CV7 7NF,,Metropolitan Borough of Solihull,West Midlands,,England,ENG,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
