orig_indexA,orig_indexB,addressA,addressB,score
3719,8682,"Apex City of Bath Hotel, 1 James Street West Bath, Bath and North East Somerset, South West, BA12DA","Apex City of Bath Hotel, James Street West, Bath, Bath and North East Somerset, South West, BA12DA",0.8077
3758,4183,"Eight, 3 North Parade Passage Bath, Bath and North East Somerset, South West, BA11NX","eight, 3, North Parade Passage, Bath and North East Somerset, South West, BA11NX",0.825
3846,5154,"Central Bath Apartment Vesta, Flat 2, Bath and North East Somerset, South West, BA12AT","The Yard in Bath, Monmouth Place, Bath and North East Somerset, South West, BA12AT",0.8
3871,5154,"Willoughby Apartment, Flat 1, Bath and North East Somerset, South West, BA12AT","The Yard in Bath, Monmouth Place, Bath and North East Somerset, South West, BA12AT",0.8
3901,7020,"Kaim Park Hotel, EDINBURGH ROAD, 17 BATHGATE, WEST LOTHIAN, EH481EP","Kaim Park Hotel, Edinburgh Road, Bathgate, West Lothian, EH481EP",0.871
3905,4758,"Premier Inn Livingston, Starlaw Road LIVINGSTON, West Lothian, EH481LQ","Premier Inn Bathgate, Starlaw Road, Bathgate, West Lothian, EH481LQ",0.8
3943,10898,"The Bellhouse, Oxford Road Street BEACONSFIELD, Buckinghamshire, South East, HP92XE","Crowne Plaza, Oxford Road, Beaconsfield, Buckinghamshire, South East, HP92XE",0.8276
4034,5751,"Castle Court, Castle Square Beaumaris, Isle of Anglesey, LL588DA","Castle Court, Beaumaris, Isle of Anglesey, LL588DA",0.816
4066,10045,"Waveney House Hotel, Puddingmoor BecclesSuffolk, East Suffolk, East of England, NR349PL","Waveney House Hotel, Puddingmoor, Beccles, East Suffolk, East of England, NR349PL",0.8
4212,6752,"Burnhouse Manor Hotel, Barmill Road Burnhouse  Ayrshire, North Ayrshire, KA151LJ","Burnhouse Manor Hotel, Barrmill Road, Burnhouse, North Ayrshire, KA151LJ",0.8324
4244,8905,"Travelodge Belfast Central, 15 Brunswick Street Belfast, BT27GE","Maldron Hotel Belfast City, 20, Brunswick Street, Belfast, BT27GE",0.8864
4253,8521,"Ibis Belfast City Centre, 100 Castle Street Nothern Ireland Belfast, BT11HF","Ibis, 100, Castle Street, Belfast, BT11HF",0.8857
4262,3097,"Premier Inn Belfast City Centre, Alfred Street Belfast Northern Ireland, BT28ED","Premier Inn, Alfred Street, Belfast, , United Kingdom, BT28ED",0.8963
4321,2154,"The Flint, 1 Brunswick Street Belfast, BT27GE","Travelodge - Belfast Central, 15, Brunswick Street, Belfast, , United Kingdom, BT27GE",0.8945
4321,8905,"The Flint, 1 Brunswick Street Belfast, BT27GE","Maldron Hotel Belfast City, 20, Brunswick Street, Belfast, BT27GE",0.8
4502,9298,"The Lake Cottage, Middleton Hall, Northumberland, North East, NE707LF","Middleton Hall, Middleton, Northumberland, North East, NE707LF",0.8
4503,9298,"The Coach House Middleton Hall, Northumberland, North East, NE707LF","Middleton Hall, Middleton, Northumberland, North East, NE707LF",0.8
4586,11159,"Dark Island, Liniclate Isle of BenbeculaOuter Hebrides, Na h-Eileanan Siar, HS75PJ","Dark Island Hotel, Isle of Benbecula, , GB, Na h-Eileanan Siar, HS75PJ",0.8
